sim_time,veh_id,type,edge,lane,lane_pos,x,y,speed,accel,angle,route_id,leader_id,gap_to_leader
4.0,veh_2,auto,S2N_A2,S2N_A2_0,30.82,601.6,369.18,9.258,0.563,180.0,north2west,,
4.0,veh_3,car,S4N_A4,S4N_A4_0,24.65,1201.6,375.35,9.971,-0.265,180.0,north4east,,
4.0,veh_4,car,S4N_A4,S4N_A4_0,14.09,1201.6,385.91,8.229,0.098,180.0,north4east,veh_3,3.556
4.0,veh_5,bus,S2S_A2,S2S_A2_0,20.06,598.4,20.06,9.981,-0.089,0.0,south2east,,
4.2,veh_1,car,A0_A1,A0_A1_2,58.2,58.2,201.6,14.995,0.789,90.0,east_main,,
4.2,veh_2,auto,S2N_A2,S2N_A2_0,32.66,601.6,367.34,9.24,-0.093,180.0,north2west,,
4.2,veh_3,car,S4N_A4,S4N_A4_0,26.64,1201.6,373.36,9.926,-0.225,180.0,north4east,,
4.2,veh_4,car,S4N_A4,S4N_A4_0,15.76,1201.6,384.24,8.324,0.476,180.0,north4east,veh_3,3.877
4.2,veh_5,bus,S2S_A2,S2S_A2_0,22.05,598.4,22.05,9.971,-0.049,0.0,south2east,,
4.4,veh_1,car,A0_A1,A0_A1_2,61.17,61.17,201.6,14.876,-0.591,90.0,east_main,,
4.4,veh_2,auto,S2N_A2,S2N_A2_0,34.5,601.6,365.5,9.199,-0.204,180.0,north2west,,
4.4,veh_3,car,S4N_A4,S4N_A4_0,28.62,1201.6,371.38,9.931,0.025,180.0,north4east,,
4.4,veh_4,car,S4N_A4,S4N_A4_0,17.41,1201.6,382.59,8.233,-0.457,180.0,north4east,veh_3,4.217
4.4,veh_5,bus,S2S_A2,S2S_A2_0,24.05,598.4,24.05,9.983,0.059,0.0,south2east,,
4.6,veh_1,car,A0_A1,A0_A1_2,64.17,64.17,201.6,14.996,0.598,90.0,east_main,,
4.6,veh_2,auto,S2N_A2,S2N_A2_0,36.37,601.6,363.63,9.349,0.749,180.0,north2west,,
4.6,veh_3,car,S4N_A4,S4N_A4_0,30.64,1201.6,369.36,10.079,0.738,180.0,north4east,,
4.6,veh_4,car,S4N_A4,S4N_A4_0,19.09,1201.6,380.91,8.443,1.054,180.0,north4east,veh_3,4.544
4.6,veh_5,bus,S2S_A2,S2S_A2_0,26.04,598.4,26.04,9.948,-0.174,0.0,south2east,,
4.8,veh_1,car,A0_A1,A0_A1_2,67.16,67.16,201.6,14.934,-0.311,90.0,east_main,,
4.8,veh_2,auto,S2N_A2,S2N_A2_0,38.21,601.6,361.79,9.18,-0.845,180.0,north2west,,
4.8,veh_3,car,S4N_A4,S4N_A4_0,32.65,1201.6,367.35,10.068,-0.054,180.0,north4east,,
4.8,veh_4,car,S4N_A4,S4N_A4_0,20.83,1201.6,379.17,8.66,1.085,180.0,north4east,veh_3,4.825
4.8,veh_5,bus,S2S_A2,S2S_A2_0,28.03,598.4,28.03,9.941,-0.037,0.0,south2east,,
4.8,veh_6,bus,S4N_A4,S4N_A4_0,12.1,1201.6,387.9,5.73,0.0,180.0,north4east,veh_4,1.727
4.8,veh_8,truck,S2N_A2,S2N_A2_0,8.1,601.6,391.9,9.155,0.0,180.0,north2west,veh_2,24.609
