sim_time,veh_id,type,edge,lane,lane_pos,x,y,speed,accel,angle,route_id,leader_id,gap_to_leader
14.2,veh_13,car,A5_A4,A5_A4_2,97.07,1402.93,198.5,14.888,-0.482,270.0,west_main,,
14.2,veh_14,mtw,A0_A1,A0_A1_0,93.51,93.51,208.0,15.06,-1.627,90.0,east_main,veh_9,32.281
14.2,veh_15,car,S4S_A4,S4S_A4_0,46.65,1198.4,46.65,8.515,0.319,0.0,south4north,veh_12,8.641
14.2,veh_16,car,S4S_A4,S4S_A4_0,33.19,1198.4,33.19,7.808,0.629,0.0,south4north,veh_15,6.457
14.2,veh_17,truck,S2N_A2,S2N_A2_0,45.9,601.6,354.1,9.136,-0.728,180.0,north2west,veh_10,21.073
14.2,veh_18,car,S2N_A2,S2N_A2_0,29.49,601.6,370.51,8.33,0.921,180.0,north2west,veh_17,5.908
14.2,veh_19,truck,S2N_A2,S2N_A2_0,16.78,601.6,383.22,5.823,0.72,180.0,north2west,veh_18,5.714
14.2,veh_2,auto,S2N_A2,S2N_A2_0,125.22,601.6,274.78,9.333,0.02,180.0,north2west,,
14.2,veh_20,mtw,A5_A4,A5_A4_1,32.85,1467.15,195.5,13.856,-1.287,270.0,west_main,,
14.2,veh_21,car,S2N_A2,S2N_A2_0,5.29,601.6,394.71,3.439,-0.647,180.0,north2west,veh_19,0.993
14.2,veh_22,car,A5_A4,A5_A4_1,14.22,1485.78,195.5,12.276,1.078,270.0,west_main,veh_20,13.928
14.2,veh_23,car,A0_A1,A0_A1_1,7.59,7.59,204.8,14.938,-0.309,90.0,east_main,,
14.2,veh_3,car,S4N_A4,S4N_A4_0,126.87,1201.6,273.13,10.012,-0.042,180.0,north4east,,
14.2,veh_4,car,S4N_A4,S4N_A4_0,110.0,1201.6,290.0,9.843,-0.646,180.0,north4east,veh_3,9.867
14.2,veh_5,bus,S2S_A2,S2S_A2_0,121.47,598.4,121.47,9.916,-0.398,0.0,south2east,,
14.2,veh_6,bus,S4N_A4,S4N_A4_0,87.88,1201.6,312.12,9.39,0.587,180.0,north4east,veh_4,15.123
14.2,veh_7,car,S4N_A4,S4N_A4_0,64.65,1201.6,335.35,9.115,0.743,180.0,north4east,veh_6,8.724
14.2,veh_8,truck,S2N_A2,S2N_A2_0,93.76,601.6,306.24,9.137,0.101,180.0,north2west,veh_2,25.964
14.2,veh_9,car,A0_A1,A0_A1_0,132.79,132.79,208.0,14.933,0.497,90.0,east_main,veh_1,67.493
14.4,veh_1,car,A0_A1,A0_A1_0,210.28,210.28,208.0,14.983,0.558,90.0,east_main,,
14.4,veh_10,mtw,S2N_A2,S2N_A2_0,73.43,601.6,326.57,8.767,-0.155,180.0,north2west,veh_8,11.655
14.4,veh_11,auto,A5_A4,A5_A4_0,100.95,1399.05,192.5,12.817,-0.448,270.0,west_main,,
14.4,veh_12,car,S4S_A4,S4S_A4_0,63.98,1198.4,63.98,8.45,0.202,0.0,south4north,,
14.4,veh_13,car,A5_A4,A5_A4_2,100.05,1399.95,198.5,14.884,-0.019,270.0,west_main,,
14.4,veh_14,mtw,A0_A1,A0_A1_0,96.53,96.53,208.0,15.12,0.295,90.0,east_main,veh_9,32.252
14.4,veh_15,car,S4S_A4,S4S_A4_0,48.34,1198.4,48.34,8.455,-0.3,0.0,south4north,veh_12,8.64
14.4,veh_16,car,S4S_A4,S4S_A4_0,34.75,1198.4,34.75,7.806,-0.008,0.0,south4north,veh_15,6.587
14.4,veh_17,truck,S2N_A2,S2N_A2_0,47.74,601.6,352.26,9.204,0.34,180.0,north2west,veh_10,20.986
14.4,veh_18,car,S2N_A2,S2N_A2_0,31.15,601.6,368.85,8.28,-0.251,180.0,north2west,veh_17,6.092
14.4,veh_19,truck,S2N_A2,S2N_A2_0,17.97,601.6,382.03,5.942,0.596,180.0,north2west,veh_18,6.181
14.4,veh_2,auto,S2N_A2,S2N_A2_0,127.07,601.6,272.93,9.257,-0.383,180.0,north2west,,
14.4,veh_20,mtw,A5_A4,A5_A4_1,35.65,1464.35,195.5,13.995,0.696,270.0,west_main,,
14.4,veh_21,car,S2N_A2,S2N_A2_0,6.04,601.6,393.96,3.736,1.486,180.0,north2west,veh_19,1.434
14.4,veh_22,car,A5_A4,A5_A4_1,16.69,1483.31,195.5,12.324,0.241,270.0,west_main,veh_20,14.263
14.4,veh_23,car,A0_A1,A0_A1_1,10.57,10.57,204.8,14.9,-0.19,90.0,east_main,,
14.4,veh_24,mtw,A0_A1,A0_A1_1,2.3,2.3,204.8,11.67,0.0,90.0,east_main,veh_23,1.268
14.4,veh_3,car,S4N_A4,S4N_A4_0,128.89,1201.6,271.11,10.081,0.345,180.0,north4east,,
14.4,veh_4,car,S4N_A4,S4N_A4_0,111.99,1201.6,288.01,9.938,0.477,180.0,north4east,veh_3,9.896
14.4,veh_5,bus,S2S_A2,S2S_A2_0,123.46,598.4,123.46,9.937,0.104,0.0,south2east,,
14.4,veh_6,bus,S4N_A4,S4N_A4_0,89.73,1201.6,310.27,9.261,-0.647,180.0,north4east,veh_4,15.259
14.4,veh_7,car,S4N_A4,S4N_A4_0,66.49,1201.6,333.51,9.173,0.29,180.0,north4east,veh_6,8.741
14.4,veh_8,truck,S2N_A2,S2N_A2_0,95.58,601.6,304.42,9.13,-0.034,180.0,north2west,veh_2,25.989
14.4,veh_9,car,A0_A1,A0_A1_0,135.79,135.79,208.0,14.973,0.203,90.0,east_main,veh_1,67.495
14.6,veh_1,car,A0_A1,A0_A1_0,213.25,213.25,208.0,14.844,-0.695,90.0,east_main,,
14.6,veh_10,mtw,S2N_A2,S2N_A2_0,75.18,601.6,324.82,8.735,-0.162,180.0,north2west,veh_8,11.738
14.6,veh_11,auto,A5_A4,A5_A4_0,103.53,1396.47,192.5,12.865,0.237,270.0,west_main,,
14.6,veh_12,car,S4S_A4,S4S_A4_0,65.67,1198.4,65.67,8.476,0.133,0.0,south4north,,
14.6,veh_13,car,A5_A4,A5_A4_2,103.05,1396.95,198.5,14.975,0.452,270.0,west_main,,
14.6,veh_14,mtw,A0_A1,A0_A1_0,99.56,99.56,208.0,15.148,0.143,90.0,east_main,veh_9,32.194
14.6,veh_15,car,S4S_A4,S4S_A4_0,50.01,1198.4,50.01,8.352,-0.513,0.0,south4north,veh_12,8.665
14.6,veh_16,car,S4S_A4,S4S_A4_0,36.31,1198.4,36.31,7.8,-0.033,0.0,south4north,veh_15,6.698
14.6,veh_17,truck,S2N_A2,S2N_A2_0,49.59,601.6,350.41,9.231,0.134,180.0,north2west,veh_10,20.887
14.6,veh_18,car,S2N_A2,S2N_A2_0,32.83,601.6,367.17,8.376,0.479,180.0,north2west,veh_17,6.263
14.6,veh_19,truck,S2N_A2,S2N_A2_0,19.18,601.6,380.82,6.063,0.604,180.0,north2west,veh_18,6.644
14.6,veh_2,auto,S2N_A2,S2N_A2_0,128.92,601.6,271.08,9.228,-0.145,180.0,north2west,,
14.6,veh_20,mtw,A5_A4,A5_A4_1,38.45,1461.55,195.5,14.012,0.086,270.0,west_main,,
14.6,veh_21,car,S2N_A2,S2N_A2_0,6.83,601.6,393.17,3.956,1.1,180.0,north2west,veh_19,1.855
14.6,veh_22,car,A5_A4,A5_A4_1,19.16,1480.84,195.5,12.372,0.236,270.0,west_main,veh_20,14.591
14.6,veh_23,car,A0_A1,A0_A1_1,13.56,13.56,204.8,14.961,0.305,90.0,east_main,,
14.6,veh_24,mtw,A0_A1,A0_A1_1,4.63,4.63,204.8,11.655,-0.077,90.0,east_main,veh_23,1.929
14.6,veh_3,car,S4N_A4,S4N_A4_0,130.87,1201.6,269.13,9.938,-0.715,180.0,north4east,,
14.6,veh_4,car,S4N_A4,S4N_A4_0,113.98,1201.6,286.02,9.946,0.039,180.0,north4east,veh_3,9.894
14.6,veh_5,bus,S2S_A2,S2S_A2_0,125.44,598.4,125.44,9.911,-0.131,0.0,south2east,,
14.6,veh_6,bus,S4N_A4,S4N_A4_0,91.6,1201.6,308.4,9.358,0.485,180.0,north4east,veh_4,15.376
14.6,veh_7,car,S4N_A4,S4N_A4_0,68.31,1201.6,331.69,9.082,-0.455,180.0,north4east,veh_6,8.796
14.6,veh_8,truck,S2N_A2,S2N_A2_0,97.41,601.6,302.59,9.151,0.107,180.0,north2west,veh_2,26.005
14.6,veh_9,car,A0_A1,A0_A1_0,138.76,138.76,208.0,14.858,-0.574,90.0,east_main,veh_1,67.492
14.8,veh_1,car,A0_A1,A0_A1_0,216.22,216.22,208.0,14.848,0.018,90.0,east_main,,
14.8,veh_10,mtw,S2N_A2,S2N_A2_0,76.9,601.6,323.1,8.604,-0.655,180.0,north2west,veh_8,11.844
14.8,veh_11,auto,A5_A4,A5_A4_0,106.08,1393.92,192.5,12.766,-0.493,270.0,west_main,,
14.8,veh_12,car,S4S_A4,S4S_A4_0,67.36,1198.4,67.36,8.407,-0.344,0.0,south4north,,
14.8,veh_13,car,A5_A4,A5_A4_2,106.02,1393.98,198.5,14.878,-0.485,270.0,west_main,,
14.8,veh_14,mtw,A0_A1,A0_A1_0,102.6,102.6,208.0,15.192,0.219,90.0,east_main,veh_9,32.152
14.8,veh_15,car,S4S_A4,S4S_A4_0,51.68,1198.4,51.68,8.37,0.088,0.0,south4north,veh_12,8.672
14.8,veh_16,car,S4S_A4,S4S_A4_0,37.86,1198.4,37.86,7.72,-0.399,0.0,south4north,veh_15,6.828
14.8,veh_17,truck,S2N_A2,S2N_A2_0,51.42,601.6,348.58,9.154,-0.381,180.0,north2west,veh_10,20.777
14.8,veh_18,car,S2N_A2,S2N_A2_0,34.51,601.6,365.49,8.436,0.301,180.0,north2west,veh_17,6.407
14.8,veh_19,truck,S2N_A2,S2N_A2_0,20.41,601.6,379.59,6.146,0.417,180.0,north2west,veh_18,7.102
14.8,veh_2,auto,S2N_A2,S2N_A2_0,130.78,601.6,269.22,9.299,0.357,180.0,north2west,,
14.8,veh_20,mtw,A5_A4,A5_A4_1,41.26,1458.74,195.5,14.046,0.171,270.0,west_main,,
14.8,veh_21,car,S2N_A2,S2N_A2_0,7.65,601.6,392.35,4.133,0.882,180.0,north2west,veh_19,2.258
14.8,veh_22,car,A5_A4,A5_A4_1,21.66,1478.34,195.5,12.506,0.674,270.0,west_main,veh_20,14.899
14.8,veh_23,car,A0_A1,A0_A1_1,16.54,16.54,204.8,14.89,-0.356,90.0,east_main,,
14.8,veh_24,mtw,A0_A1,A0_A1_1,6.96,6.96,204.8,11.647,-0.038,90.0,east_main,veh_23,2.577
14.8,veh_3,car,S4N_A4,S4N_A4_0,132.89,1201.6,267.11,10.067,0.647,180.0,north4east,,
14.8,veh_4,car,S4N_A4,S4N_A4_0,115.93,1201.6,284.07,9.777,-0.843,180.0,north4east,veh_3,9.952
14.8,veh_5,bus,S2S_A2,S2S_A2_0,127.43,598.4,127.43,9.97,0.296,0.0,south2east,,
14.8,veh_6,bus,S4N_A4,S4N_A4_0,93.47,1201.6,306.53,9.364,0.031,180.0,north4east,veh_4,15.459
14.8,veh_7,car,S4N_A4,S4N_A4_0,70.12,1201.6,329.88,9.067,-0.076,180.0,north4east,veh_6,8.856
14.8,veh_8,truck,S2N_A2,S2N_A2_0,99.24,601.6,300.76,9.132,-0.098,180.0,north2west,veh_2,26.038
14.8,veh_9,car,A0_A1,A0_A1_0,141.75,141.75,208.0,14.984,0.627,90.0,east_main,veh_1,67.465
15.0,veh_1,car,A0_A1,A0_A1_0,219.19,219.19,208.0,14.852,0.023,90.0,east_main,,
15.0,veh_10,mtw,S2N_A2,S2N_A2_0,78.66,601.6,321.34,8.833,1.145,180.0,north2west,veh_8,11.899
15.0,veh_11,auto,A5_A4,A5_A4_0,108.64,1391.36,192.5,12.798,0.161,270.0,west_main,,
15.0,veh_12,car,S4S_A4,S4S_A4_0,69.06,1198.4,69.06,8.52,0.562,0.0,south4north,,
15.0,veh_13,car,A5_A4,A5_A4_2,109.0,1391.0,198.5,14.885,0.036,270.0,west_main,,
15.0,veh_14,mtw,A0_A1,A0_A1_0,105.62,105.62,208.0,15.088,-0.52,90.0,east_main,veh_9,32.117
15.0,veh_15,car,S4S_A4,S4S_A4_0,53.36,1198.4,53.36,8.366,-0.02,0.0,south4north,veh_12,8.703
15.0,veh_16,car,S4S_A4,S4S_A4_0,39.43,1198.4,39.43,7.845,0.628,0.0,south4north,veh_15,6.932
15.0,veh_17,truck,S2N_A2,S2N_A2_0,53.24,601.6,346.76,9.087,-0.339,180.0,north2west,veh_10,20.726
15.0,veh_18,car,S2N_A2,S2N_A2_0,36.19,601.6,363.81,8.404,-0.161,180.0,north2west,veh_17,6.543
15.0,veh_19,truck,S2N_A2,S2N_A2_0,21.67,601.6,378.33,6.299,0.766,180.0,north2west,veh_18,7.523
15.0,veh_2,auto,S2N_A2,S2N_A2_0,132.63,601.6,267.37,9.25,-0.246,180.0,north2west,,
15.0,veh_20,mtw,A5_A4,A5_A4_1,44.03,1455.97,195.5,13.827,-1.094,270.0,west_main,,
15.0,veh_21,car,S2N_A2,S2N_A2_0,8.51,601.6,391.49,4.282,0.748,180.0,north2west,veh_19,2.661
15.0,veh_22,car,A5_A4,A5_A4_1,24.16,1475.84,195.5,12.502,-0.023,270.0,west_main,veh_20,15.164
15.0,veh_23,car,A0_A1,A0_A1_1,19.51,19.51,204.8,14.865,-0.127,90.0,east_main,,
15.0,veh_24,mtw,A0_A1,A0_A1_1,9.32,9.32,204.8,11.784,0.685,90.0,east_main,veh_23,3.193
15.0,veh_25,mtw,S4N_A4,S4N_A4_0,2.3,1201.6,397.7,9.75,0.0,180.0,north4east,veh_7,62.639
15.0,veh_3,car,S4N_A4,S4N_A4_0,134.88,1201.6,265.12,9.988,-0.399,180.0,north4east,,
15.0,veh_4,car,S4N_A4,S4N_A4_0,117.92,1201.6,282.08,9.923,0.731,180.0,north4east,veh_3,9.965
15.0,veh_5,bus,S2S_A2,S2S_A2_0,129.41,598.4,129.41,9.905,-0.323,0.0,south2east,,
15.0,veh_6,bus,S4N_A4,S4N_A4_0,95.34,1201.6,304.66,9.306,-0.288,180.0,north4east,veh_4,15.582
15.0,veh_7,car,S4N_A4,S4N_A4_0,71.94,1201.6,328.06,9.102,0.176,180.0,north4east,veh_6,8.897
15.0,veh_8,truck,S2N_A2,S2N_A2_0,101.06,601.6,298.94,9.11,-0.107,180.0,north2west,veh_2,26.066
15.0,veh_9,car,A0_A1,A0_A1_0,144.74,144.74,208.0,14.911,-0.363,90.0,east_main,veh_1,67.453
15.2,veh_1,car,A0_A1,A0_A1_0,222.17,222.17,208.0,14.881,0.143,90.0,east_main,,
15.2,veh_10,mtw,S2N_A2,S2N_A2_0,80.43,601.6,319.57,8.817,-0.081,180.0,north2west,veh_8,11.965
15.2,veh_11,auto,A5_A4,A5_A4_0,111.22,1388.78,192.5,12.905,0.534,270.0,west_main,,
15.2,veh_12,car,S4S_A4,S4S_A4_0,70.75,1198.4,70.75,8.462,-0.288,0.0,south4north,,
15.2,veh_13,car,A5_A4,A5_A4_2,111.98,1388.02,198.5,14.911,0.129,270.0,west_main,,
15.2,veh_14,mtw,A0_A1,A0_A1_0,108.63,108.63,208.0,15.038,-0.251,90.0,east_main,veh_9,32.077
15.2,veh_15,car,S4S_A4,S4S_A4_0,55.07,1198.4,55.07,8.546,0.903,0.0,south4north,veh_12,8.686
15.2,veh_16,car,S4S_A4,S4S_A4_0,40.98,1198.4,40.98,7.794,-0.259,0.0,south4north,veh_15,7.082
15.2,veh_17,truck,S2N_A2,S2N_A2_0,55.08,601.6,344.92,9.198,0.558,180.0,north2west,veh_10,20.65
15.2,veh_18,car,S2N_A2,S2N_A2_0,37.88,601.6,362.12,8.416,0.057,180.0,north2west,veh_17,6.7
15.2,veh_19,truck,S2N_A2,S2N_A2_0,22.95,601.6,377.05,6.383,0.418,180.0,north2west,veh_18,7.93
15.2,veh_2,auto,S2N_A2,S2N_A2_0,134.46,601.6,265.54,9.142,-0.541,180.0,north2west,,
15.2,veh_20,mtw,A5_A4,A5_A4_1,46.83,1453.17,195.5,13.997,0.845,270.0,west_main,,
15.2,veh_21,car,S2N_A2,S2N_A2_0,9.4,601.6,390.6,4.429,0.733,180.0,north2west,veh_19,3.052
15.2,veh_22,car,A5_A4,A5_A4_1,26.67,1473.33,195.5,12.514,0.061,270.0,west_main,veh_20,15.46
15.2,veh_23,car,A0_A1,A0_A1_1,22.48,22.48,204.8,14.839,-0.127,90.0,east_main,,
15.2,veh_24,mtw,A0_A1,A0_A1_1,11.71,11.71,204.8,11.945,0.802,90.0,east_main,veh_23,3.772
15.2,veh_25,mtw,S4N_A4,S4N_A4_0,4.22,1201.6,395.78,9.605,-0.725,180.0,north4east,veh_7,62.527
15.2,veh_3,car,S4N_A4,S4N_A4_0,136.87,1201.6,263.13,9.928,-0.296,180.0,north4east,,
15.2,veh_4,car,S4N_A4,S4N_A4_0,119.91,1201.6,280.09,9.934,0.053,180.0,north4east,veh_3,9.964
15.2,veh_5,bus,S2S_A2,S2S_A2_0,131.4,598.4,131.4,9.952,0.234,0.0,south2east,,
15.2,veh_6,bus,S4N_A4,S4N_A4_0,97.22,1201.6,302.78,9.422,0.58,180.0,north4east,veh_4,15.685
15.2,veh_7,car,S4N_A4,S4N_A4_0,73.75,1201.6,326.25,9.044,-0.289,180.0,north4east,veh_6,8.972
15.2,veh_8,truck,S2N_A2,S2N_A2_0,102.89,601.6,297.11,9.146,0.181,180.0,north2west,veh_2,26.065
15.2,veh_9,car,A0_A1,A0_A1_0,147.71,147.71,208.0,14.84,-0.354,90.0,east_main,veh_1,67.461
15.4,veh_1,car,A0_A1,A0_A1_0,225.15,225.15,208.0,14.933,0.262,90.0,east_main,,
15.4,veh_10,mtw,S2N_A2,S2N_A2_0,82.14,601.6,317.86,8.566,-1.256,180.0,north2west,veh_8,12.082
15.4,veh_11,auto,A5_A4,A5_A4_0,113.78,1386.22,192.5,12.776,-0.644,270.0,west_main,,
15.4,veh_12,car,S4S_A4,S4S_A4_0,72.46,1198.4,72.46,8.554,0.458,0.0,south4north,,
15.4,veh_13,car,A5_A4,A5_A4_2,114.97,1385.03,198.5,14.943,0.16,270.0,west_main,,
15.4,veh_14,mtw,A0_A1,A0_A1_0,111.7,111.7,208.0,15.363,1.624,90.0,east_main,veh_9,31.987
15.4,veh_15,car,S4S_A4,S4S_A4_0,56.76,1198.4,56.76,8.478,-0.343,0.0,south4north,veh_12,8.701
15.4,veh_16,car,S4S_A4,S4S_A4_0,42.57,1198.4,42.57,7.919,0.629,0.0,south4north,veh_15,7.194
15.4,veh_17,truck,S2N_A2,S2N_A2_0,56.9,601.6,343.1,9.136,-0.313,180.0,north2west,veh_10,20.536
15.4,veh_18,car,S2N_A2,S2N_A2_0,39.57,601.6,360.43,8.487,0.355,180.0,north2west,veh_17,6.83
15.4,veh_19,truck,S2N_A2,S2N_A2_0,24.25,601.6,375.75,6.503,0.601,180.0,north2west,veh_18,8.326
15.4,veh_2,auto,S2N_A2,S2N_A2_0,136.33,601.6,263.67,9.346,1.024,180.0,north2west,,
15.4,veh_20,mtw,A5_A4,A5_A4_1,49.65,1450.35,195.5,14.108,0.555,270.0,west_main,,
15.4,veh_21,car,S2N_A2,S2N_A2_0,10.33,601.6,389.67,4.69,1.303,180.0,north2west,veh_19,3.415
15.4,veh_22,car,A5_A4,A5_A4_1,29.2,1470.8,195.5,12.652,0.688,270.0,west_main,veh_20,15.751
15.4,veh_23,car,A0_A1,A0_A1_1,25.46,25.46,204.8,14.908,0.343,90.0,east_main,,
15.4,veh_24,mtw,A0_A1,A0_A1_1,14.16,14.16,204.8,12.249,1.52,90.0,east_main,veh_23,4.304
15.4,veh_25,mtw,S4N_A4,S4N_A4_0,6.11,1201.6,393.89,9.46,-0.726,180.0,north4east,veh_7,62.472
15.4,veh_3,car,S4N_A4,S4N_A4_0,138.86,1201.6,261.14,9.958,0.146,180.0,north4east,,
15.4,veh_4,car,S4N_A4,S4N_A4_0,121.87,1201.6,278.13,9.819,-0.573,180.0,north4east,veh_3,9.992
15.4,veh_5,bus,S2S_A2,S2S_A2_0,133.4,598.4,133.4,9.987,0.173,0.0,south2east,,
15.4,veh_6,bus,S4N_A4,S4N_A4_0,99.11,1201.6,300.89,9.457,0.172,180.0,north4east,veh_4,15.757
15.4,veh_7,car,S4N_A4,S4N_A4_0,75.58,1201.6,324.42,9.181,0.686,180.0,north4east,veh_6,9.028
15.4,veh_8,truck,S2N_A2,S2N_A2_0,104.72,601.6,295.28,9.149,0.012,180.0,north2west,veh_2,26.105
15.4,veh_9,car,A0_A1,A0_A1_0,150.69,150.69,208.0,14.909,0.345,90.0,east_main,veh_1,67.466
15.6,veh_1,car,A0_A1,A0_A1_0,228.14,228.14,208.0,14.938,0.022,90.0,east_main,,
15.6,veh_10,mtw,S2N_A2,S2N_A2_0,83.85,601.6,316.15,8.571,0.029,180.0,north2west,veh_8,12.191
15.6,veh_11,auto,A5_A4,A5_A4_0,116.37,1383.63,192.5,12.965,0.947,270.0,west_main,,
15.6,veh_12,car,S4S_A4,S4S_A4_0,74.17,1198.4,74.17,8.557,0.016,0.0,south4north,,
15.6,veh_13,car,A5_A4,A5_A4_2,117.94,1382.06,198.5,14.858,-0.423,270.0,west_main,,
15.6,veh_14,mtw,A0_A1,A0_A1_0,114.75,114.75,208.0,15.228,-0.673,90.0,east_main,veh_9,31.916
15.6,veh_15,car,S4S_A4,S4S_A4_0,58.47,1198.4,58.47,8.554,0.382,0.0,south4north,veh_12,8.702
15.6,veh_16,car,S4S_A4,S4S_A4_0,44.17,1198.4,44.17,8.027,0.537,0.0,south4north,veh_15,7.3
15.6,veh_17,truck,S2N_A2,S2N_A2_0,58.71,601.6,341.29,9.045,-0.455,180.0,north2west,veh_10,20.441
15.6,veh_18,car,S2N_A2,S2N_A2_0,41.26,601.6,358.74,8.439,-0.238,180.0,north2west,veh_17,6.951
15.6,veh_19,truck,S2N_A2,S2N_A2_0,25.57,601.6,374.43,6.618,0.574,180.0,north2west,veh_18,8.691
15.6,veh_2,auto,S2N_A2,S2N_A2_0,138.18,601.6,261.82,9.28,-0.33,180.0,north2west,,
15.6,veh_20,mtw,A5_A4,A5_A4_1,52.44,1447.56,195.5,13.952,-0.779,270.0,west_main,,
15.6,veh_21,car,S2N_A2,S2N_A2_0,11.31,601.6,388.69,4.867,0.885,180.0,north2west,veh_19,3.765
15.6,veh_22,car,A5_A4,A5_A4_1,31.75,1468.25,195.5,12.781,0.647,270.0,west_main,veh_20,15.986
15.6,veh_23,car,A0_A1,A0_A1_1,28.45,28.45,204.8,14.938,0.152,90.0,east_main,,
15.6,veh_24,mtw,A0_A1,A0_A1_1,16.6,16.6,204.8,12.238,-0.056,90.0,east_main,veh_23,4.844
15.6,veh_25,mtw,S4N_A4,S4N_A4_0,8.06,1201.6,391.94,9.745,1.427,180.0,north4east,veh_7,62.366
15.6,veh_3,car,S4N_A4,S4N_A4_0,140.87,1201.6,259.13,10.029,0.356,180.0,north4east,,
15.6,veh_4,car,S4N_A4,S4N_A4_0,123.84,1201.6,276.16,9.833,0.068,180.0,north4east,veh_3,10.031
15.6,veh_5,bus,S2S_A2,S2S_A2_0,135.39,598.4,135.39,9.93,-0.285,0.0,south2east,,
15.6,veh_6,bus,S4N_A4,S4N_A4_0,100.99,1201.6,299.01,9.393,-0.318,180.0,north4east,veh_4,15.845
15.6,veh_7,car,S4N_A4,S4N_A4_0,77.43,1201.6,322.57,9.22,0.192,180.0,north4east,veh_6,9.062
15.6,veh_8,truck,S2N_A2,S2N_A2_0,106.55,601.6,293.45,9.117,-0.157,180.0,north2west,veh_2,26.137
15.6,veh_9,car,A0_A1,A0_A1_0,153.66,153.66,208.0,14.877,-0.16,90.0,east_main,veh_1,67.478
15.8,veh_1,car,A0_A1,A0_A1_0,231.12,231.12,208.0,14.919,-0.094,90.0,east_main,,
15.8,veh_10,mtw,S2N_A2,S2N_A2_0,85.61,601.6,314.39,8.779,1.037,180.0,north2west,veh_8,12.254
15.8,veh_11,auto,A5_A4,A5_A4_0,118.94,1381.06,192.5,12.837,-0.641,270.0,west_main,,
15.8,veh_12,car,S4S_A4,S4S_A4_0,75.85,1198.4,75.85,8.4,-0.783,0.0,south4north,,
15.8,veh_13,car,A5_A4,A5_A4_2,120.92,1379.08,198.5,14.899,0.205,270.0,west_main,,
15.8,veh_14,mtw,A0_A1,A0_A1_0,117.81,117.81,208.0,15.33,0.507,90.0,east_main,veh_9,31.82
15.8,veh_15,car,S4S_A4,S4S_A4_0,60.19,1198.4,60.19,8.593,0.195,0.0,south4north,veh_12,8.663
15.8,veh_16,car,S4S_A4,S4S_A4_0,45.81,1198.4,45.81,8.179,0.763,0.0,south4north,veh_15,7.382
15.8,veh_17,truck,S2N_A2,S2N_A2_0,60.52,601.6,339.48,9.046,0.008,180.0,north2west,veh_10,20.388
15.8,veh_18,car,S2N_A2,S2N_A2_0,42.93,601.6,357.07,8.318,-0.604,180.0,north2west,veh_17,7.097
15.8,veh_19,truck,S2N_A2,S2N_A2_0,26.92,601.6,373.08,6.737,0.598,180.0,north2west,veh_18,9.007
15.8,veh_2,auto,S2N_A2,S2N_A2_0,140.02,601.6,259.98,9.197,-0.416,180.0,north2west,,
15.8,veh_20,mtw,A5_A4,A5_A4_1,55.22,1444.78,195.5,13.895,-0.285,270.0,west_main,,
15.8,veh_21,car,S2N_A2,S2N_A2_0,12.34,601.6,387.66,5.15,1.417,180.0,north2west,veh_19,4.083
15.8,veh_22,car,A5_A4,A5_A4_1,34.31,1465.69,195.5,12.802,0.105,270.0,west_main,veh_20,16.204
15.8,veh_23,car,A0_A1,A0_A1_1,31.42,31.42,204.8,14.858,-0.399,90.0,east_main,,
15.8,veh_24,mtw,A0_A1,A0_A1_1,19.11,19.11,204.8,12.549,1.555,90.0,east_main,veh_23,5.306
15.8,veh_25,mtw,S4N_A4,S4N_A4_0,9.94,1201.6,390.06,9.399,-1.73,180.0,north4east,veh_7,62.313
15.8,veh_26,car,S2N_A2,S2N_A2_0,4.6,601.6,395.4,3.228,0.0,180.0,north2west,veh_21,0.736
15.8,veh_3,car,S4N_A4,S4N_A4_0,142.86,1201.6,257.14,9.96,-0.342,180.0,north4east,,
15.8,veh_4,car,S4N_A4,S4N_A4_0,125.82,1201.6,274.18,9.915,0.41,180.0,north4east,veh_3,10.04
15.8,veh_5,bus,S2S_A2,S2S_A2_0,137.38,598.4,137.38,9.977,0.235,0.0,south2east,,
15.8,veh_6,bus,S4N_A4,S4N_A4_0,102.87,1201.6,297.13,9.405,0.059,180.0,north4east,veh_4,15.947
15.8,veh_7,car,S4N_A4,S4N_A4_0,79.25,1201.6,320.75,9.132,-0.44,180.0,north4east,veh_6,9.117
15.8,veh_8,truck,S2N_A2,S2N_A2_0,108.36,601.6,291.64,9.093,-0.12,180.0,north2west,veh_2,26.158
15.8,veh_9,car,A0_A1,A0_A1_0,156.63,156.63,208.0,14.847,-0.152,90.0,east_main,veh_1,67.493
16.0,veh_1,car,A0_A1,A0_A1_0,234.1,234.1,208.0,14.897,-0.108,90.0,east_main,,
16.0,veh_10,mtw,S2N_A2,S2N_A2_0,87.33,601.6,312.67,8.614,-0.825,180.0,north2west,veh_8,12.362
16.0,veh_11,auto,A5_A4,A5_A4_0,121.53,1378.47,192.5,12.965,0.638,270.0,west_main,,
16.0,veh_12,car,S4S_A4,S4S_A4_0,77.54,1198.4,77.54,8.446,0.229,0.0,south4north,,
16.0,veh_13,car,A5_A4,A5_A4_2,123.92,1376.08,198.5,14.981,0.409,270.0,west_main,,
16.0,veh_14,mtw,A0_A1,A0_A1_0,120.87,120.87,208.0,15.308,-0.108,90.0,east_main,veh_9,31.734
16.0,veh_15,car,S4S_A4,S4S_A4_0,61.85,1198.4,61.85,8.293,-1.498,0.0,south4north,veh_12,8.694
