sim_time,rsu_id,x,y,type,range_m
11.2,RSU_A4,1200.0,10.0,poi_rsu,150
11.4,RSU_A2,600.0,10.0,poi_rsu,150
11.4,RSU_A4,1200.0,10.0,poi_rsu,150
11.6,RSU_A2,600.0,10.0,poi_rsu,150
11.6,RSU_A4,1200.0,10.0,poi_rsu,150
11.8,RSU_A2,600.0,10.0,poi_rsu,150
11.8,RSU_A4,1200.0,10.0,poi_rsu,150
12.0,RSU_A2,600.0,10.0,poi_rsu,150
12.0,RSU_A4,1200.0,10.0,poi_rsu,150
12.2,RSU_A2,600.0,10.0,poi_rsu,150
12.2,RSU_A4,1200.0,10.0,poi_rsu,150
12.4,RSU_A2,600.0,10.0,poi_rsu,150
12.4,RSU_A4,1200.0,10.0,poi_rsu,150
12.6,RSU_A2,600.0,10.0,poi_rsu,150
12.6,RSU_A4,1200.0,10.0,poi_rsu,150
12.8,RSU_A2,600.0,10.0,poi_rsu,150
12.8,RSU_A4,1200.0,10.0,poi_rsu,150
13.0,RSU_A2,600.0,10.0,poi_rsu,150
13.0,RSU_A4,1200.0,10.0,poi_rsu,150
13.2,RSU_A2,600.0,10.0,poi_rsu,150
13.2,RSU_A4,1200.0,10.0,poi_rsu,150
13.4,RSU_A2,600.0,10.0,poi_rsu,150
13.4,RSU_A4,1200.0,10.0,poi_rsu,150
13.6,RSU_A2,600.0,10.0,poi_rsu,150
13.6,RSU_A4,1200.0,10.0,poi_rsu,150
13.8,RSU_A2,600.0,10.0,poi_rsu,150
13.8,RSU_A4,1200.0,10.0,poi_rsu,150
14.0,RSU_A2,600.0,10.0,poi_rsu,150
14.0,RSU_A4,1200.0,10.0,poi_rsu,150
14.2,RSU_A2,600.0,10.0,poi_rsu,150
14.2,RSU_A4,1200.0,10.0,poi_rsu,150
14.4,RSU_A2,600.0,10.0,poi_rsu,150
14.4,RSU_A4,1200.0,10.0,poi_rsu,150
14.6,RSU_A2,600.0,10.0,poi_rsu,150
14.6,RSU_A4,1200.0,10.0,poi_rsu,150
14.8,RSU_A2,600.0,10.0,poi_rsu,150
14.8,RSU_A4,1200.0,10.0,poi_rsu,150
15.0,RSU_A2,600.0,10.0,poi_rsu,150
15.0,RSU_A4,1200.0,10.0,poi_rsu,150
15.2,RSU_A2,600.0,10.0,poi_rsu,150
15.2,RSU_A4,1200.0,10.0,poi_rsu,150
15.4,RSU_A2,600.0,10.0,poi_rsu,150
15.4,RSU_A4,1200.0,10.0,poi_rsu,150
15.6,RSU_A2,600.0,10.0,poi_rsu,150
15.6,RSU_A4,1200.0,10.0,poi_rsu,150
15.8,RSU_A2,600.0,10.0,poi_rsu,150
15.8,RSU_A4,1200.0,10.0,poi_rsu,150
16.0,RSU_A2,600.0,10.0,poi_rsu,150
16.0,RSU_A4,1200.0,10.0,poi_rsu,150
16.2,RSU_A2,600.0,10.0,poi_rsu,150
16.2,RSU_A4,1200.0,10.0,poi_rsu,150
16.4,RSU_A2,600.0,10.0,poi_rsu,150
16.4,RSU_A4,1200.0,10.0,poi_rsu,150
16.6,RSU_A2,600.0,10.0,poi_rsu,150
16.6,RSU_A4,1200.0,10.0,poi_rsu,150
16.8,RSU_A2,600.0,10.0,poi_rsu,150
16.8,RSU_A4,1200.0,10.0,poi_rsu,150
17.0,RSU_A2,600.0,10.0,poi_rsu,150
17.0,RSU_A4,1200.0,10.0,poi_rsu,150
17.2,RSU_A2,600.0,10.0,poi_rsu,150
17.2,RSU_A4,1200.0,10.0,poi_rsu,150
17.4,RSU_A2,600.0,10.0,poi_rsu,150
17.4,RSU_A4,1200.0,10.0,poi_rsu,150
17.6,RSU_A2,600.0,10.0,poi_rsu,150
17.6,RSU_A4,1200.0,10.0,poi_rsu,150
17.8,RSU_A2,600.0,10.0,poi_rsu,150
17.8,RSU_A4,1200.0,10.0,poi_rsu,150
18.0,RSU_A2,600.0,10.0,poi_rsu,150
18.0,RSU_A4,1200.0,10.0,poi_rsu,150
18.2,RSU_A2,600.0,10.0,poi_rsu,150
18.2,RSU_A4,1200.0,10.0,poi_rsu,150
18.4,RSU_A2,600.0,10.0,poi_rsu,150
18.4,RSU_A4,1200.0,10.0,poi_rsu,150
18.6,RSU_A2,600.0,10.0,poi_rsu,150
18.6,RSU_A4,1200.0,10.0,poi_rsu,150
18.8,RSU_A2,600.0,10.0,poi_rsu,150
18.8,RSU_A4,1200.0,10.0,poi_rsu,150
19.0,RSU_A2,600.0,10.0,poi_rsu,150
19.0,RSU_A4,1200.0,10.0,poi_rsu,150
19.2,RSU_A2,600.0,10.0,poi_rsu,150
19.2,RSU_A4,1200.0,10.0,poi_rsu,150
19.4,RSU_A2,600.0,10.0,poi_rsu,150
19.4,RSU_A4,1200.0,10.0,poi_rsu,150
19.6,RSU_A2,600.0,10.0,poi_rsu,150
